longitude,latitude,name,notes
-114.66983,47.613,Camas (Roses Plunge) (MT),2849' elevation 120F Source. (Hot Springs Chamber of Commerce: 406-741-2662)
-112.1574,41.85493,CamperWorld Resort (Belmont)(Uddy) (UT),4331' elevation 800 GPM plus source. (www.camperworld-resorts.com/resorts/hot-springs-resort)(Phone: 435-458-3200 or 1-801-262-8166 or 1-800-959-0722)
-122.58146,38.5839,Carlin Country Cottages (CA),367' elevation.
-117.3524,33.16009,Carlsbad Mineral Water Spa (CA),53' elevation.
-119.75355,39.19282,Carson (NV),4702' elevation.(www.carsonhotspringsresort.com)(Phone: 775-885-8844 or 1-888-917-3711)
-121.80704,45.72634,Carson Mineral (Klickitat) (WA),488' elevation 136F source. (www.carsonhotspringresort.com)(Phone: 509-427-8292 or 1-800-607-3678)(Address: 372 St Martins Rd. Carson. WA 98610)
-112.94171,33.49363,Casa Blanca (Dechen Ling) (AZ),1125' elevation.
-107.09867,38.27379,Cebolla (Powderhorn) (CO),REPORTEDLY DESTROYED (as of 1983). 8104' elevation. 106F source.
-106.82672,38.83497,Cement Creek (CO),9267' elevation. 77F 70GPM source. (Phone:970-349-6512)
-106.17348,38.73135,Chalk Cliffs (CO),"8239' elevation 181F source. (http://anterohotsprings.com)(eMail: info@anterohotsprings.com)(Phone: 719-539-8204)(Address: 16120 CR 162 Nathrop CO 81236)(Mail: PO Box 668 Salida, CO 81201)"
-114.17447,44.52244,Challis (Beardsley) (ID),4915' elevation 127F Max several sources at about 20 GPM at a PH of 8. (www.challishotsprings.com)(eMail: hotsprings@custertel.net)(Phone: 208-879-4442)(Mail: PO Box 1779 Challis ID 83226)
-107.25716,33.12859,Charles Motel and Mineral Spa (NM),4259' elevation. 111F and cooler.
-146.057,65.053,Chena (AK),1161' elevation 156F maximum of 4 sources. (www.chenahotsprings.com)(Phone: 907-451-8104 or 1-800-478-4681)(Mail: Chena Hot Springs Resort P.O.Box 58740 Fairbanks AK 99711)(Fax: 907-451-8151)
-110.6913,45.337,Chico (MT),5308' elevation 113F Source. (www.chicohotsprings.com)(Phone: 406-333-4933 or toll free at 1-800-468-9232)(eMail: reservations@chicohotsprings.com)(Address: 1 Old Chico Road Pray MT 59065)
-108.8355,43.0084,Chief Washakie Plunge (WY),CLOSED FOR REMODEL AS OF 2008. 5476' elevation 111F source. (www.easternshoshonetribe.com)(Phone: 307-332-9106)
-104.59264,30.03637,Chinati (Ruidosa) (TX),3668' elevation 113F source. (chinatihotsprings.net)(Phone: 432-229-4165)(info@chinatihotsprings.net)(Mail: P.O. Box 67 Marfa TX 79843)
-116.48242,33.95411,CJ Grand Hotel and Spa (CA DHS),1116' elevation.
-114.415,43.561,Clarendon (ID),CLOSED TO THE PUBLIC (as of 1930). 5754' elevation 126F source.
-105.87196,37.70613,Colorado Gators Reptile Park (CO),SOAKING PROHIBIBITED. 7556' elevation. 91F source.
-122.57704,38.58802,Comfort Inn (CA),377' elevation.
-111.656,41.038,Como (UT),5098' elevation. 81F source.
-106.22149,38.81208,Cottonwood (CO),8545' elevation. (www.cottonwood-hot-springs.com)(Phone: 1-800-241-4119 or 719-395-6434 or 719-395-2102)(Address: 18999 County Road 306 Buena Vista CO 81211)
-117.80671,45.29388,Cove (OR),2958' elevation 86F 300GPM plus source. (www.coveoregon.org/localattractions_pool.shtml)(Phone: 541-568-4063)(Address: 907 Water Street Cove OR 97824)
-106.17284,38.72155,Creek Side (CO),8338' elevation 105F source. (Phone: 719-395-8202)(Address: 15654 CR 289A Nathrop CO 81236)
-111.67261,42.27815,Croney Cove HS (ID),6080' elevation. (Phone: 1-800-323-3393).
-112.08741,41.65964,Crystal (Madsens) (UT),4296' elevation 129F source.
-118.61479,43.43853,Crystal Crane (OR),4127' elevation 172F Source. (www.cranehotsprings.com)(Phone: 541-493-2312)(Address: 59315 Highway 78 Burns OR 97720)
-116.48239,33.95407,Crystal Hotel and Spa (CA DHS),1114' elevation.
-105.02812,38.42489,Dakota (CO),"5340' elevation. (www.dakotahotsprings.com)(eMail: information@dakotahotsprings.com)(Phone: 1-866-882-1010 or 719-372-9250)(Address: 1 Malibu Blvd. Hwy 50 W Penrose, CO 81240)"
-108.2008,43.6498,Days Inn Hot Springs (Holiday Inn of the Waters) (WY HSSP),4341' elevation. (www.thermopolis-hi.com)(Phone: 307-864-3131)(eMail: holinn@tribcsp.com)(Address: 115 E Park Street Thermopolis WY 82443) (Hot Springs SP)
-117.183,38.822,Darrough (NV),5610' elevation 203F source.
-116.22651,35.84916,Delights Resort (CA),1345' elevation.
-109.1157,44.51325,DeMaris (DeMays) (WY),CLOSED TO THE PUBLIC (as of ????). 5039' elevation.
-116.50123,33.97005,Desert Hot Springs Hotel and Spa (CA DHS),1224' elevation.
-116.50134,33.97005,Desert Hotel and Spa (CA),1221' elevation.
-116.50134,33.96635,Desert Oasis Inn (CA),1160' elevation.
-105.04396,38.37202,Desert Reef (CO),5170' elevation. (desertreefhotspring.com)(eMail: desertreefhotspring@gmail.com)(Phone: 719-784-6134)(Address: 1194 CR 110 Florence CO 81240)(Mail: PO Box 508 Penrose CO 81240)
-122.78089,48.64192,Doe Bay (WA Orcas Island),"44' elevation. Source heated to 110F. (doebay.com)(Office Phone: 360-376-2291)(Cafe Phone: 360-376-8059)(eMail: office@doebay.com)(Address: 107 Doe Bay Road Olga, WA 98279)"
-116.47797,33.95422,Dog Spa (CA DHS),1169' elevation.
-105.3956,42.6648,Douglas (Jackalope) (WY),CLOSED TO THE PUBLIC (as of 1993) 4757' elevation 400GPM source. (George and Jackie Weiss the owners Phone: 307-358-2820)
-112.08926,42.38804,Downata (ID),4788' elevation 112F source. (www.downatahotsprings.com)(Phone: 208-897-5736)(Adress: 25901 Downata Rd Downey ID 83234)
-93.05536,34.51823,Downtowner Hotel and Spa (AR HSNP),642' elevation 143F average from over 30 sources at over 10000 GPM. (www.thespringshotelandspa.com)(Phone: 501-624-5521)(Address: 135 Central Ave Hot Springs AR 71901) (Hot Springs NP)
-122.57822,38.58029,Dr Wilkinsons (CA),353' elevation.
-121.4094,40.43879,Drakesbad Guest Ranch (CA LVNP),5816' elevation.(in Lassen Volcanic NP)
-108.34996,37.60895,Dunton (CO),7503' elevation.
-113.632,42.102,Durfee (ID),5376' elevation. Pocatello. (www.durfeehotsprings.com)(Office Phone: 208-824-5701)(Home Phone: 208-824-5543)(eMail: info@durfeehotsprings.com)(2798 Elba-Almo Rd Almo ID 83312)
-117.96701,45.24559,Eagles Hot Lake RV Resort (OR),2703' elevation. (www.eagleshotlakerv.com)(Phone: 1-800-994-5253 or 541-963-5253)(Address: 65182 Hot Lake Ln. LaGrande OR 97850)
-114.539,43.779,Easley (ID),6601' elevation 98F source. (www.cathedralpines.org/staticpages/index.php?page=easley)(Phone: 208-726-7522)
-112.93997,33.49367,El Dorado (Tonopah) (AZ),1125' elevation. 112F source.
-116.49597,33.96518,El Morocco Inn and Spa (CA DHS),1172' elevation.
-105.27604,39.93277,Eldorado Swimming pool (CO),5761' elevation. 79F source. (www.eldoradosprings.com)(Phone: 303-499-9640)(Address: 294 Artesian Dr. Eldorado Springs CO 80025)
-113.1087,45.4578,Elkhorn (MT),7206' elevation 106F-120F from 6 sources. (www.elkhornhotsprings.com)(Phone: 406-834-3434 or 800722-8978)(eMail: info@elkhornhotsprings.com)(Mail: PO Box 460514 Polaris MT 59746)
-116.47392,33.95516,Emerald Springs Resort (CA),1249' elevation.
-121.63719,36.12356,Esalen Institute (Slates) (CA),133' elevation 122F source.
-109.72626,32.76471,Essence of Tranquility (AZ),3146' elevation. 102-115F sources.
-122.57833,38.57544,Eurospa and Inn (CA),350' elevation.
-103.48072,43.44116,Evans Plunge (SD),3497' elevation 87F source at 5000 gallons per minute. (www.evansplunge.com)(Phone: 605-745-5165)(eMail: info@evansplunge.com)(Address: 1145 N River st. Hot Springs SD 57747)
-112.81151,46.04284,Fairmont (Gregson) (MT),5651' elevation 143F at the natural source and 160F at the hot water well. (www.fairmontmontana.com)(Phone: 1-800-332-3272 or 406-797-3241)(Address: 1500 Fairmont Road Fairmont MT 59711)
-122.48335,38.31448,Fairmont Sonoma Mission Inn (CA),123' elevation.
-107.9993,32.54871,Faywood (NM),4853' elevation 129F source.
-107.25274,33.12854,Firewater Lodge (NM),4247' elevation.
-116.48902,33.96132,Flamingo Resort (CA DHS),1182' elevation.
-105.05528,38.42425,Florence Artesian Well (CO),REPORTEDLY DESTROYED (as of 1983). 5246' elevation. 81F 130GPM source.
-108.20477,43.67338,Fountain of Youth RV Park (Maytag Spring) (WY),4309' elevation 128F source at 950GPM (www.fountainofyouthrvpark.com)(Phone: 307-864-3265)(eMail: reservations@fountianofyouthrvpark.com)(Address: 250 North Highway 20 Thermopolis Wyoming 82443)
-115.56946,33.35169,Fountain of Youth Spa (CA),91' elevation.
-120.65039,35.5935,Franklin Lakes (CA),856' elevation 110F MAX a high flow source.
-116.86612,36.45719,Furnace Creek Ranch (CA DVNP),-157' elevation. (in Death Valley NP)
-119.36626,40.66162,Gerlach (Great Boiling) (NV),CLOSED AND UNDER CONSTRUCTION (as of 2006). 3962' elevation 208F source.
-106.69208,35.77001,Giggling Springs (NM),6196' elevation.
-108.2053,33.18578,Gila (NM),5559' elevation 151F Source.
-108.20484,33.19597,Gila Vacation Center (NM),5561' elevation 150F 200GPM source.
-116.70683,43.41405,Givens (ID),2274' elevation 117F source. (office hours are noon-10pm 7 days a week)(www.givenshotsprings.com)(eMail: givenshotsprings@mindspring.com)(Phone: 208-495-2000)(Address: 11309 Hwy 78 Givens Hot Springs ID 83641)
-117.49251,33.76094,Glen Ivy Spa (CA),1147' elevation 131F source.
-107.32342,39.55018,Glenwood (CO),5754' elevation 124F Source. (www.hotspringspool.com)(Reservation Phone: 800-537-7946)(Spa Phone: 877-947-3331)(Pool Phone: 970-947-2955)(Athletic Club Phone: 970-947-2953)(Sport Shop Phone: 970-947-2940)(Address: 415 East 6th Street Glenwood Springs CO 81601)(Mail: PO Box 308 Glenwood Springs CO 81601)
-115.94411,44.67551,Gold Fork (ID),4976' elevation 127F source. (Phone: 208-890-8730)
-122.58077,38.58476,Golden Haven (CA),367' elevation.
-110.445,43.37,Granite Creek (WY),7074' elevation 106F Source. (granitehotsprings.mountainmancountry.com)(Phone: 307-367-2242 or 1-888-285-7282)
-111.435,43.791,Green Canyon (Pincock) (ID),6047' elevation 118F source. (www.greencanyonhotspring.com)(Phone: 208-458-4454)(Address: 2432 Canyon Creek Rd Newdale ID 83436)(Mail: PO Box 206 Newdale ID 83436)
-119.8435,38.69548,Grover (CA),5931' elevation 147F source.
-114.40972,43.68333,Guyer (ID),CLOSED TO THE PUBLIC (as of 1928). 5910' elevation. 158F source.
-116.48284,33.95488,Hacienda Inn (CA DHS),1126' elevation.
-114.354,43.506,Hailey (ID),CLOSED TO THE PUBLIC (as of 1930). 5449' elevation 131F source.
-122.65265,38.78646,Harbin (CA),1453' elevation 95-115F source.
-115.3392,44.12619,Haven (ID),FOR SALE. 4549' elevation 148F source. (www.havenhotsprings.com)(eMail: haven@havenhotsprings.com)(Phone: 208-259-3344)(Address: 7655 Hwy 21 Lowman ID 83637)
-107.25274,33.12764,Hay-Yo-Kay (NM),4244' elevation.
-119.48447,47.3894,Healing Water Spa (WA),1089' elevation. (www.healingwaterspa.com)(Phone: 509-246-1660)(eMail: healingwaterspa@yahoo.com)(Address: 318 Main Ave E Soap Lake WA 98851)
-107.00962,37.26481,Healing Waters Resort and Spa (CO),7080' elevation 130F source. (www.pshotsprings.com)(Phone: 1-800-832-5523)(Address: 317 Hot Springs Blvd. Pagosa Springs CO 81147)
-111.687,43.644,Heise (ID),5109' elevation 126F source. (www.heisehotsprings.net)(Pool phone: 208-538-7312 ext 0)(RV park phone: 208-538-7944 ext 7)(Address: 5116 East Heise Rd Rire ID 83443)
-122.58026,38.58141,Hideaway Cottages (CA),356' elevation.
-116.4719,33.95552,Highlander Lodge (CA DHS),1280' elevation.
-112.00815,42.61931,Home Hotel (Tumbling Waters) (ID),5019' elevation 133F well source. (www.homehotel.com)(Phone: 208-776-5050)(Address: 306 East Main st Lava Hot Springs ID 83246)
-79.83061,37.99669,Homestead (VA),2294' elevation 102-106F sources. (www.thehomestead.com)(Phone: 866-354-4653)(eMail: stay@thehomestead.com)(Address: 7696 Sam Snead Hwy Hot Springs VA 24445)
-111.48754,40.52354,Homestead Resort (UT),5724' elevation. (www.homesteadresort.com)(Phone: 1-800-327-7220 or 435-654-1102)
-116.47366,33.95535,Hope Bed and Breakfast (CA DHS),1254' elevation.
-117.958,45.244,Hot Lake Hotel (OR),2717' elevation 198F sources at 1750 gallons per minute. (www.hotlakesprings.com)(Phone: 541-963-4685)(Address: 66172 Hwy 203. La Grande. OR 97850)(Mail: PO Box 1043. La Grande OR. 97850)
-93.05407,34.51267,Hot Springs Health Spa (AR HSNP),615' elevation 143F average from over 30 sources at over 10000 GPM. (Phone: 501-321-9664)(Address: 501 Spring st Hot Springs AR 71901) (Hot Springs NP)
-82.82825,35.89238,Hot Springs Resort (NC),1328' elevation 103-106F source. (www.nchotsprings.com)(Phone: 828-622-7676)(eMail: info@nchotsprings.com)(Lodging eMail: lodging@nchotsprings.com)(Address: 315 Bridge st Hot Springs NC 28743)(Mail: PO Box 428 Hot Springs NC 28743)
-107.25283,33.12761,Hot Springs Soaking Pools (NM),4242' elevation 109F 40GPM from 5 sources. (Phone: 505-894-2228)(Address: 300 Austin Ave. Truth or Consequences NM 87901)
-106.1136,40.07306,Hot Sulphur (CO),7731' elevation 111F 100 plus GPM source. (www.hotsulphursprings.com)(Phone: 1-800-510-6235 or 970-725-3306)(Mail: PO Box 275 Hot Sulphur Springs CO 80451)
-110.2572,45.7572,Hunters (MT),CLOSED TO THE PUBLIC AS OF (2000) 4426' elevation 168F source at 1300 GPM.
-114.84823,44.10609,Idaho Rocky Mountain Guest Ranch (ID),6720' elevation. (Phone: 208-774-3544)
-115.68217,33.42625,Imperial Hot Mineral Spa (CA),-2' elevation.
-122.57631,38.58351,Indian Springs (CA),358' elevation.
-107.25188,33.1276,Indian Springs Natural Flowing pools (NM),4239' elevation.
-112.87497,42.72641,Indian Springs Resort (ID),4513' elevation. 90F source. (www.indianspringsresortandrv.com)(Phone: 208-226-2174)(Reservations phone: 208-226-7700)(Address: 3249 Indian Springs Rd American Falls ID 83211)
-105.51407,39.73703,Indian Springs Resort (Idaho) (CO),7624' elevation. (www.indianhotsprings.com)(Phone: 303-989-6666)(Fax: 303-567-9304)(Address: 302 Soda Creek Road Idaho Springs CO 80452)(Mail: PO Box 1990 Idaho Springs CO 80452)
-119.48323,47.38897,Inn at Soap Lake (WA),1098' elevation. (www.innsoaplake.com)(Phone: 509-246- 1132)(Address: 226 Main ave E Soap Lake WA 98851)
-118.96125,44.28803,J Bar L Guest Ranch (OR),3881' elevation 104F source.
-113.403,45.3678,Jackson (Jardine) (MT),6431' elevation 138F Source. (www.jacksonhotsprings.com)(Phone: 406-834-3151)(Mail: PO Box 808 Jackson MT 59736)
-116.18965,32.61755,Jacumba Spa and Lodge (CA),2825' elevation.
-106.68943,35.77234,Jemez Springs bathhouse (NM),6233' elevation 169F 10GPM source.
-105.92443,38.16805,Joyful Journey (Mineral) (CO),7743' elevation 140F source. (www.joyfuljourneyhotsprings.com)(eMail: info@joyfuljourneyhotsprings.com)(Phone: 1-800- 673-0656 or 719-256-4328)
-107.952,40.467,Juniper (CO),CLOSED TO THE PUBLIC (as of 1980). 5988'elevation. 100F source. (as of 2000)
-112.8558,47.6329,K Bar L (Medicine)(Sun River) (MT),4822' elevation 84-86F source. (http://www.kbarlranch.com)(Phone: 406-562-3589 Winter & Spring or 406-562-3551 Summer & Fall) The property is currently FOR SALE but still opperating. To purchase Contact Brandon Price Realtor at Montana Legacy Real Estate (Phone: 406-461-2055)
-109.72001,32.75075,Kachina (Mineral) (AZ),3166' elevation 108F source.
-121.201,44.862,Kah Nee Ta Resort (OR),1459' elevation 140F source. (www.kahneeta.com)(Phone: 1-800-554-4786 or 541-553-1112)
-120.83568,41.45399,Kelly (CA),CLOSED TO THE PUBLIC (as of 2013). 4360' elevation.
-118.37086,37.25558,Keough (CA),5155' elevation 124F source.
-115.68229,33.42475,KOA (Glamis North),-43' elevation.
-107.25275,33.12683,La Paloma (NM),4241' elevation.
-116.5013,33.9687,La Toscana (CA),1203' elevation.
-119.48323,47.38627,Lake Motel (WA),1105' elevation. REPORTED TO BE CLOSED AS OF 2012 (Phone: 509-246-0248)(Address: 322 Daisy st. S Soap Lake WA 98851)
-115.6421,33.38017,Lark Spa (CA),-42' elevation.
-116.49808,33.96707,Las Primaveras Resort and Spa (CA),1182' elevation.
-112.008,42.621,Lava Hot Springs Foundation (ID),5099' elevation 113F source. (www.lavahotsprings.com)(Phone: 1-800-423-8597)(eMail: info@lava.idaho.gov)(Address: 430 East Main st Lava Hot Springs ID 83246)
-112.0109,42.62012,Lava Hot Springs Inn Bed and Breakfast (ID),5013' elevation 145F well source. (www.lavahotspringsinn.com)(Phone: 208-776-5830 or toll free: 1-800-527-5830)(Address: 94 East Portneuf Ave Lava Hot Springs ID 83246)
-122.57901,38.57467,Lavender Hill Spa (CA),362' elevation.
-119.90413,39.50978,Lawton (River Inn) (NV),CLOSED TO THE PUBLIC (as of 2013). 4720' elevation. 120F source.
-118.66179,45.15308,Lehman (OR),4351' elevation 167F maximum of several sources. (www.lehmanhotsprings.com)(Phone: 541-427-3015)(Address: Lehman Hot Springs Milepost 17 Hwy 244 Ukiah OR 97880)
-108.05382,38.01563,Lemon (CO),7324' elevation.
-116.48817,33.95591,Lido Palms Spa Motel (CA DHS),1098' elevation.
-112.55465,44.14519,Lidy (ID),CLOSED TO THE PUBLIC (as of 1962). 5301' elevation. 124F source.
-122.57953,38.57755,Lincoln Ave Spa (CA),341' elevation.
-122.74497,42.22119,Lithia Springs Inn (Jackson) (OR),1674' elevation 97F source. (www.ashlandinn.com)(Phone: 1-800-482-7128 or 541-482-7128)(Address: 2165 West Jackson Rd. Ashland OR 97520)
-116.47499,33.95144,Living Waters Spa (CA DHS),1152' elevation.
-106.17408,38.73029,Lloyd's Inn Bed and Breakfast (CO),8258' elevation. (Phone: 1-877-395-8202 or 719-395-8202)(Address: 16260 CR 162 Nathrop CO 81236)
-116.16797,45.41851,Lodge at Riggins (ID),1925' elevation 140F Artesian well source 106F from the origional natural source. (www.rhslodge.com)(Phone: 208-628-3785)(Write: PO Box 1247 Riggins ID 83549)
-114.5328,46.7522,Lolo (Granite) (MT),4124' elevation 105-117F Sources. (www.lolohotsprings.com)(for the lodge: www.lololodge.com)(Phone: 406-273-2290 or 1-800-273-2290)(for reservations call: 406-273-2294 or 1-877-541-5117)(Address: 38500 W. Highway 12 Lolo MT 59847)(eMail: info@lolohotsprings.com)
-113.9394,45.7497,Lost Trail (Gallogly) (MT),5088' elevation 110F Source. (www.losttrailhotsprings.com)(Phone: 406-821-3574)(Address: 8321 US Highway 93 South Sula Montana 59871)(eMail: info@LostTrailHotSprings.com)
-114.504,42.013,Magic (ID),CLOSED AND FOR SALE (as of 2014). 5621' elevation 109F source. (Phone: 800-678-3445).
-93.05592,34.51909,Majestic Hotel Resort and Spa (AR HSNP),AS OF 2013 THIS FACILITY APPEARS TO BE CLOSED. 647' elevation 143F average from over 30 sources at over 10000 GPM.(Phone: 1-800-643-1504 or 501-623-5511)
-150.633,65.006,Manley (AK),325' elevation 125F and 136F from 2 sources. (Roadhouse Website: http://manleyroadhouse.com)(Roadhouse Phone: 907-672-3161)(Roadhouse eMail:info@manleyroadhouse.com)(Roadhouse Address: Manley Roadhouse 1 Main St. Manley Hot Springs AK 99756)
-111.7079,42.30748,Maple Grove (ID),4913' elevation 130F average source temperature 172F Maximum. (www.maplegrovehotsprings.com)(Phone: 208-851-1137)(eMail: info@maplegrovehotsprings.com)(Address: 11386 N Oneida Narrows Rd Thatcher ID 83283)
-107.25291,33.12692,Marshall Miracle (NM),4239' elevation 110F source.
-122.60553,38.57823,Meadowlark Country House (CA),456' elevation.
-117.625,45.018,Medical (OR),PRIVATE. 3494' elevation 140F source.
-154.69102,65.12833,Melozitna (AK),REPORTED TO BE ABANDONED (as of 2009). 920' elevation 131F 125GPM source. (Phone: 907-892-6987)(Mail: PO Box 52801 Big Lake AK 99652)
-120.83553,36.77699,Mercey (CA),770' elevation 119F source.
-115.01547,44.72045,Middle Fork Lodge (Thomas Creek Ranch) (ID),4418' elevation 138F source.
-107.836,32.748,Mimbres (NM),CLOSED TO THE PUBLIC (as of 2001). 5740' elevation 136F source.
-105.924,38.168,Mineral (Chamberlain) (CO),CLOSED TO THE PUBLIC (as of 1983). 7746' elevation 140F source.
-114.86091,42.69152,Miracle (Hot Sulphur) (ID),2919' elevation 139F well source. (www.mhsprings.com)(Phone: 208-543-6002)(Address: 19073A Hwy 30 Buhl ID 83316)
-116.48126,33.95702,Miracle Manor retreat (CA DHS),1187' elevation.
-116.50143,33.97161,Miracle Springs Resort (CA DHS),1248' elevation.
-114.714,36.71,Moapa (Camping Resort)(Desert Oasis)(Iversons)(Muddy) (NV),CLOSED TO THE PUBLIC (as of 2013). 1804' elevation 90F source.
-119.01541,37.32854,Mono (CA),6669' elevation 109F source.
